id,s3EconomicUnits,s3PersonsEngaged,s3XlsxRow,overviewEconomicUnits,overviewPermanentEstablishments,overviewTemporaryEstablishments,overviewEconomicHouseholds,overviewXlsxRow
country-bangladesh,11702792,30632661,6,11702792,6269457,573969,4859366,7
division-barishal,656944,1279120,7,656944,366938,19946,270060,10
district-barguna,74670,140360,8,,,,,
district-barishal,172676,371592,9,,,,,
district-bhola,118889,221694,10,,,,,
district-jhalokati,62945,115746,11,,,,,
district-patuakhali,132164,245096,12,,,,,
district-pirojpur,95600,184632,13,,,,,
division-chattogram,2048840,5409333,14,2048840,1184332,96462,768046,13
district-bandarban,32101,81644,15,,,,,
district-brahmanbaria,209023,428846,16,,,,,
district-chandpur,180039,341993,17,,,,,
district-chattogram,532238,2059351,18,,,,,
district-coxs-bazar,184213,438525,19,,,,,
district-cumilla,342867,807903,20,,,,,
district-feni,100896,239623,21,,,,,
district-khagrachhari,53445,125953,22,,,,,
district-lakshmipur,138895,283740,23,,,,,
district-noakhali,225186,475340,24,,,,,
district-rangamati,49937,126415,25,,,,,
division-dhaka,3169284,11827458,26,3169284,1865248,200145,1103891,16
district-dhaka,1039078,4821802,27,,,,,
district-faridpur,182676,357850,28,,,,,
district-gazipur,394241,2530106,29,,,,,
district-gopalganj,109094,198650,30,,,,,
district-kishoreganj,205837,423680,31,,,,,
district-madaripur,97924,186500,32,,,,,
district-manikganj,118343,272166,33,,,,,
district-munshiganj,101944,245727,34,,,,,
district-narayanganj,276476,1282230,35,,,,,
district-narsingdi,180328,529871,36,,,,,
district-rajbari,96715,179569,37,,,,,
district-shariatpur,86298,156387,38,,,,,
district-tangail,280330,642920,39,,,,,
division-khulna,1489445,2912614,40,1489445,707676,61868,719901,19
district-bagerhat,131436,256216,41,,,,,
district-chuadanga,107241,188443,42,,,,,
district-jashore,257332,542472,43,,,,,
district-jhenaidah,167487,302437,44,,,,,
district-khulna,237302,531795,45,,,,,
district-kushtia,192029,379905,46,,,,,
district-magura,93724,162163,47,,,,,
district-meherpur,63787,110990,48,,,,,
district-narail,57425,98563,49,,,,,
district-satkhira,181682,339630,50,,,,,
division-mymensingh,775946,1670093,51,775946,406335,35133,334478,22
district-jamalpur,196224,347171,52,,,,,
district-mymensingh,346455,888712,53,,,,,
district-netrakona,125393,229787,54,,,,,
district-sherpur,107874,204423,55,,,,,
division-rajshahi,1680717,3409316,56,1680717,746918,69442,864357,25
district-bogura,337253,698575,57,,,,,
district-chapainawabganj,145503,265334,58,,,,,
district-joypurhat,87832,171704,59,,,,,
district-naogaon,261640,483011,60,,,,,
district-natore,155969,295911,61,,,,,
district-pabna,210027,462171,62,,,,,
district-rajshahi,233275,501787,63,,,,,
district-sirajganj,249218,530823,64,,,,,
division-rangpur,1334966,2739710,65,1334966,669477,61323,604166,28
district-dinajpur,269163,581606,66,,,,,
district-gaibandha,204934,366771,67,,,,,
district-kurigram,170446,310913,68,,,,,
district-lalmonirhat,99676,188459,69,,,,,
district-nilphamari,157943,347180,70,,,,,
district-panchagarh,88247,172356,71,,,,,
district-rangpur,234114,534344,72,,,,,
district-thakurgaon,110443,238081,73,,,,,
division-sylhet,546650,1385017,74,546650,322533,29650,194467,31
district-habiganj,126310,331143,75,,,,,
district-moulvibazar,117684,316607,76,,,,,
district-sunamganj,116631,227660,77,,,,,
district-sylhet,186025,509607,78,,,,,
