id,sourceName,locality,economicUnits,permanentEstablishments,temporaryEstablishments,economicHouseholds,personsEngaged,permanentPersonsEngaged,temporaryPersonsEngaged,economicHouseholdPersonsEngaged,xlsxRow,pdfPage,printedPage
country-bangladesh,National,Total,11702792,6269457,573969,4859366,30632661,23748083,778984,6105594,5,143,119
country-bangladesh,National,Rural,7385828,3465220,234549,3686059,15535510,10618831,301723,4614956,6,143,119
country-bangladesh,National,Urban,4316964,2804237,339420,1173307,15097151,13129252,477261,1490638,7,143,119
division-barishal,Barishal Division,Total,656944,366938,19946,270060,1279120,897468,25319,356333,8,143,119
division-barishal,Barishal Division,Rural,450693,232023,8442,210228,779549,488306,10609,280634,9,143,119
division-barishal,Barishal Division,Urban,206251,134915,11504,59832,499571,409162,14710,75699,10,143,119
district-barguna,Barguna,Total,74670,39240,1643,33787,140360,91670,2141,46549,11,143,119
district-barguna,Barguna,Rural,52933,24730,563,27640,92171,52694,683,38794,12,143,119
district-barguna,Barguna,Urban,21737,14510,1080,6147,48189,38976,1458,7755,13,143,119
district-barishal,Barishal,Total,172676,105611,6997,60068,371592,288740,8618,74234,14,143,119
district-barishal,Barishal,Rural,105532,60291,2461,42780,185895,129528,2943,53424,15,143,119
district-barishal,Barishal,Urban,67144,45320,4536,17288,185697,159212,5675,20810,16,143,119
district-bhola,Bhola,Total,118889,69050,4149,45690,221694,159910,5304,56480,17,143,119
district-bhola,Bhola,Rural,79594,43778,1861,33955,135343,90852,2431,42060,18,143,119
district-bhola,Bhola,Urban,39295,25272,2288,11735,86351,69058,2873,14420,19,143,119
district-jhalokati,Jhalokati,Total,62945,29245,1107,32593,115746,67556,1317,46873,20,143,119
district-jhalokati,Jhalokati,Rural,42304,17280,476,24548,73974,37352,569,36053,21,143,119
district-jhalokati,Jhalokati,Urban,20641,11965,631,8045,41772,30204,748,10820,22,143,119
district-patuakhali,Patuakhali,Total,132164,70736,3399,58029,245096,164484,4446,76166,23,143,119
district-patuakhali,Patuakhali,Rural,100883,50568,1688,48627,168394,102331,2148,63915,24,143,119
district-patuakhali,Patuakhali,Urban,31281,20168,1711,9402,76702,62153,2298,12251,25,143,119
district-pirojpur,Pirojpur,Total,95600,53056,2651,39893,184632,125108,3493,56031,26,143,119
district-pirojpur,Pirojpur,Rural,69447,35376,1393,32678,123772,75549,1835,46388,27,143,119
district-pirojpur,Pirojpur,Urban,26153,17680,1258,7215,60860,49559,1658,9643,28,143,119
division-chattogram,Chattogram Division,Total,2048840,1184332,96462,768046,5409333,4250453,135199,1023681,29,143,119
division-chattogram,Chattogram Division,Rural,1226309,644750,34991,546568,2537976,1761871,48068,728037,30,143,119
division-chattogram,Chattogram Division,Urban,822531,539582,61471,221478,2871357,2488582,87131,295644,31,143,119
district-bandarban,Bandarban,Total,32101,17216,1181,13704,81644,59726,1636,20282,32,143,119
district-bandarban,Bandarban,Rural,17347,7520,288,9539,38912,24097,387,14428,33,143,119
