id,sourceName,estimate,table,pdfPage,printedPage
country-bangladesh,Total,53.4,7.1.1,133,97
division-barishal,Barishal,42.2,7.1.1,133,97
division-chattogram,Chattogram,65.4,7.1.1,133,97
division-dhaka,Dhaka,66.1,7.1.1,133,97
division-khulna,Khulna,52.8,7.1.1,133,97
division-mymensingh,Mymensingh,43.5,7.1.1,133,97
division-rajshahi,Rajshahi,41.2,7.1.1,133,97
division-rangpur,Rangpur,36.9,7.1.1,133,97
division-sylhet,Sylhet,39.4,7.1.1,133,97
district-bagerhat,Bagerhat,46.7,B-2,283,247
district-bandarban,Bandarban,46.9,B-2,283,247
district-barguna,Barguna,49.5,B-2,283,247
district-barishal,Barishal,41.9,B-2,283,247
district-bhola,Bhola,38.8,B-2,283,247
district-bogura,Bogura,42.4,B-2,283,247
district-brahmanbaria,Brahmanbaria,60.0,B-2,283,247
district-chandpur,Chandpur,57.8,B-2,283,247
district-chapainawabganj,Chapainababganj,37.9,B-2,283,247
district-chattogram,Chattogram,69.8,B-2,283,247
district-chuadanga,Chuadanga,51.1,B-2,283,247
district-coxs-bazar,Cox's Bazar,49.1,B-2,283,247
district-cumilla,Cumilla,72.7,B-2,283,247
district-dhaka,Dhaka,80.3,B-2,283,247
district-dinajpur,Dinajpur,36.4,B-2,283,247
district-faridpur,Faridpur,70.1,B-2,283,247
district-feni,Feni,72.1,B-2,283,247
district-gaibandha,Gaibandha,33.7,B-2,283,247
district-gazipur,Gazipur,68.7,B-2,283,247
district-gopalganj,Gopalganj,46.6,B-2,283,247
district-habiganj,Habiganj,37.4,B-2,283,247
district-jamalpur,Jamalpur,37.0,B-2,283,247
district-jashore,Jashore,66.0,B-2,283,247
district-jhalokati,Jhalokati,32.0,B-2,283,247
district-jhenaidah,Jhenaidah,56.8,B-2,283,247
district-joypurhat,Joypurhat,38.8,B-2,283,247
district-khagrachhari,Khagrachhari,57.7,B-2,283,247
district-khulna,Khulna,51.1,B-2,283,247
district-kishoreganj,Kishoreganj,63.8,B-2,283,247
district-kurigram,Kurigram,39.2,B-2,283,247
district-kushtia,Kushtia,45.9,B-2,283,247
district-lakshmipur,Lakshmipur,55.4,B-2,283,247
district-lalmonirhat,Lalmonirhat,46.3,B-2,283,247
district-madaripur,Madaripur,56.2,B-2,283,247
district-magura,Magura,59.4,B-2,283,247
district-manikganj,Manikganj,55.7,B-2,283,247
district-meherpur,Meherpur,52.9,B-2,283,247
district-moulvibazar,Moulvibazar,40.5,B-2,283,247
district-munshiganj,Munshiganj,52.4,B-2,283,247
district-mymensingh,Mymensingh,47.0,B-2,283,247
district-naogaon,Naogaon,45.1,B-2,283,247
district-narail,Narail,60.9,B-2,283,247
district-narayanganj,Narayanganj,69.8,B-2,284,248
district-narsingdi,Narsingdi,56.3,B-2,284,248
district-natore,Natore,47.1,B-2,284,248
district-netrakona,Netrakona,44.5,B-2,284,248
district-nilphamari,Nilphamari,43.1,B-2,284,248
district-noakhali,Noakhali,70.3,B-2,284,248
district-pabna,Pabna,39.7,B-2,284,248
district-panchagarh,Panchagarh,25.3,B-2,284,248
district-patuakhali,Patuakhali,44.9,B-2,284,248
district-pirojpur,Pirojpur,43.6,B-2,284,248
district-rajbari,Rajbari,65.4,B-2,284,248
district-rajshahi,Rajshahi,50.0,B-2,284,248
district-rangamati,Rangamati,61.7,B-2,284,248
district-rangpur,Rangpur,37.7,B-2,284,248
district-satkhira,Satkhira,37.4,B-2,284,248
district-shariatpur,Shariatpur,53.4,B-2,284,248
district-sherpur,Sherpur,38.8,B-2,284,248
district-sirajganj,Sirajganj,29.2,B-2,284,248
district-sunamganj,Sunamganj,40.1,B-2,284,248
district-sylhet,Sylhet,39.7,B-2,284,248
district-tangail,Tangail,39.6,B-2,284,248
district-thakurgaon,Thakurgaon,30.3,B-2,284,248
