id,sourceName,estimate,se,low,high,table,pdfPage,printedPage
country-bangladesh,Proportion of individuals who used internet in last 3 months,53.4,0.373,52.642,54.106,SE.2,285,249
district-bagerhat,Bagerhat,46.7,2.714,41.330,51.975,SE.4,305,269
district-bandarban,Bandarban,46.9,4.420,38.264,55.599,SE.4,305,269
district-barguna,Barguna,49.5,4.494,40.680,58.306,SE.4,305,269
district-barishal,Barishal,41.9,2.570,36.814,46.891,SE.4,305,269
district-bhola,Bhola,38.8,2.745,33.428,44.195,SE.4,305,269
district-bogura,Bogura,42.4,3.080,36.379,48.457,SE.4,305,269
district-brahmanbaria,Brahmanbaria,60.0,1.999,56.112,63.952,SE.4,305,269
district-chandpur,Chandpur,57.8,2.632,52.597,62.918,SE.4,305,269
district-chattogram,Chattogram,69.8,1.677,66.496,73.072,SE.4,305,269
district-chuadanga,Chuadanga,51.1,3.544,44.184,58.081,SE.4,305,269
district-cumilla,Cumilla,72.7,1.838,69.082,76.289,SE.4,305,269
district-coxs-bazar,Cox's Bazar,49.1,2.424,44.325,53.833,SE.4,305,269
district-dhaka,Dhaka,80.3,1.275,77.773,82.775,SE.4,305,269
district-dinajpur,Dinajpur,36.4,3.022,30.475,42.326,SE.4,305,269
district-faridpur,Faridpur,70.1,2.013,66.189,74.084,SE.4,305,269
district-feni,Feni,72.1,1.954,68.223,75.885,SE.4,305,269
district-gaibandha,Gaibandha,33.7,2.847,28.068,39.234,SE.4,305,269
district-gazipur,Gazipur,68.7,2.547,63.729,73.720,SE.4,305,269
district-gopalganj,Gopalganj,46.6,3.672,39.402,53.801,SE.4,305,269
district-habiganj,Habiganj,37.4,2.489,32.471,42.232,SE.4,305,269
district-joypurhat,Joypurhat,38.8,2.207,34.518,43.173,SE.4,305,269
district-jamalpur,Jamalpur,37.0,2.727,31.670,42.366,SE.4,305,269
district-jashore,Jashore,66.0,3.526,59.131,72.958,SE.4,305,269
district-jhalokati,Jhalokati,32.0,2.887,26.291,37.612,SE.4,305,269
district-jhenaidah,Jhenaidah,56.8,2.177,52.543,61.080,SE.4,305,269
district-khagrachhari,Khagrachhari,57.7,3.454,50.879,64.424,SE.4,305,269
district-khulna,Khulna,51.1,3.058,45.124,57.117,SE.4,305,269
district-kishoreganj,Kishoreganj,63.8,3.664,56.650,71.020,SE.4,305,269
district-kurigram,Kurigram,39.2,3.858,31.662,46.794,SE.4,305,269
district-kushtia,Kushtia,45.9,2.960,40.091,51.700,SE.4,306,270
district-lakshmipur,Lakshmipur,55.4,2.594,50.332,60.506,SE.4,306,270
district-lalmonirhat,Lalmonirhat,46.3,2.715,40.946,51.592,SE.4,306,270
district-madaripur,Madaripur,56.2,2.752,50.816,61.608,SE.4,306,270
district-magura,Magura,59.4,3.152,53.252,65.616,SE.4,306,270
district-manikganj,Manikganj,55.7,2.995,49.818,61.563,SE.4,306,270
district-meherpur,Meherpur,52.9,2.939,47.113,58.639,SE.4,306,270
district-moulvibazar,Moulvibazar,40.5,2.566,35.465,45.530,SE.4,306,270
district-munshiganj,Munshiganj,52.4,1.867,48.770,56.091,SE.4,306,270
district-mymensingh,Mymensingh,47.0,2.217,42.630,51.325,SE.4,306,270
district-naogaon,Naogaon,45.1,2.460,40.311,49.959,SE.4,306,270
district-narail,Narail,60.9,4.041,53.006,68.856,SE.4,306,270
district-narayanganj,Narayanganj,69.8,2.506,64.909,74.736,SE.4,306,270
district-narsingdi,Narsingdi,56.3,2.739,50.950,61.692,SE.4,306,270
district-natore,Natore,47.1,3.309,40.619,53.595,SE.4,306,270
district-chapainawabganj,Chapainababganj,37.9,2.911,32.220,43.637,SE.4,306,270
district-netrakona,Netrakona,44.5,2.319,39.919,49.014,SE.4,306,270
district-nilphamari,Nilphamari,43.1,3.634,35.964,50.216,SE.4,306,270
district-noakhali,Noakhali,70.3,1.747,66.912,73.762,SE.4,306,270
district-pabna,Pabna,39.7,2.528,34.712,44.625,SE.4,306,270
district-panchagarh,Panchagarh,25.3,2.394,20.588,29.977,SE.4,306,270
district-patuakhali,Patuakhali,44.9,2.754,39.534,50.335,SE.4,306,270
district-pirojpur,Pirojpur,43.6,3.245,37.256,49.983,SE.4,306,270
district-rajshahi,Rajshahi,50.0,3.511,43.094,56.862,SE.4,306,270
district-rajbari,Rajbari,65.4,1.361,62.746,68.083,SE.4,306,270
district-rangamati,Rangamati,61.7,3.450,54.899,68.429,SE.4,306,270
district-rangpur,Rangpur,37.7,3.333,31.124,44.197,SE.4,306,270
district-shariatpur,Shariatpur,53.4,3.409,46.668,60.039,SE.4,306,270
district-satkhira,Satkhira,37.4,3.356,30.818,43.980,SE.4,306,270
district-sirajganj,Sirajganj,29.2,2.779,23.800,34.699,SE.4,306,270
district-sherpur,Sherpur,38.8,2.927,33.077,44.556,SE.4,306,270
district-sunamganj,Sunamganj,40.1,2.813,34.597,45.630,SE.4,306,270
district-sylhet,Sylhet,39.7,2.954,33.886,45.471,SE.4,306,270
district-tangail,Tangail,39.6,2.542,34.616,44.586,SE.4,306,270
district-thakurgaon,Thakurgaon,30.3,3.078,24.245,36.317,SE.4,306,270
